年齢,性別,身長,体重,今の時間帯,空いた時間,食べたカロリー,これから食べるカロリー,食べれたか
44,男性,168.6,63.3,2023-08-22 12:35:00,6.5,358.6,750.7,1
76,男性,174.9,68.1,2023-08-22 07:59:00,20.2,510.8,547.4,1
63,男性,167.8,62.0,2023-08-22 06:04:00,12.2,733.5,542.9,1
57,女性,162.6,58.4,2023-08-22 23:47:00,9.2,311.0,506.9,1
45,女性,160.6,57.7,2023-08-22 08:21:00,13.4,614.9,571.2,1
26,男性,174.8,68.0,2023-08-22 15:25:00,11.8,458.6,589.0,1
48,女性,161.6,57.5,2023-08-22 09:07:00,17.8,665.4,471.0,1
56,男性,168.3,62.9,2023-08-22 18:34:00,13.8,513.2,306.5,1
27,男性,174.9,67.3,2023-08-22 12:02:00,19.8,396.2,559.8,1
80,男性,167.2,62.4,2023-08-22 13:14:00,6.4,405.2,781.8,1
18,男性,174.4,67.8,2023-08-22 11:23:00,20.5,491.1,405.3,1
48,女性,159.8,56.2,2023-08-22 14:56:00,3.8,744.6,398.2,0
22,女性,155.0,53.4,2023-08-22 14:29:00,12.1,550.5,546.7,1
40,女性,155.3,53.6,2023-08-22 19:09:00,19.9,463.0,437.4,1
79,女性,161.0,58.0,2023-08-22 06:52:00,2.4,479.4,716.8,0
30,女性,157.0,54.7,2023-08-22 16:25:00,21.8,544.3,385.9,1
34,女性,159.3,56.1,2023-08-22 14:40:00,6.3,682.6,420.6,1
47,男性,167.4,61.9,2023-08-22 23:21:00,21.6,353.4,383.8,1
64,女性,160.9,57.8,2023-08-22 08:39:00,2.9,778.4,739.2,0
57,男性,166.0,60.9,2023-08-22 06:23:00,20.0,629.3,724.2,1
66,女性,164.8,60.6,2023-08-22 02:54:00,3.7,375.0,719.9,0
50,男性,166.5,61.4,2023-08-22 06:19:00,22.4,799.3,778.9,1
43,男性,166.9,62.2,2023-08-22 05:17:00,18.1,654.6,691.4,1
27,男性,166.5,61.7,2023-08-22 22:55:00,12.2,481.4,346.0,1
19,女性,161.6,58.1,2023-08-22 13:12:00,13.3,487.7,780.3,1
51,男性,171.8,65.8,2023-08-22 02:32:00,3.0,405.8,579.5,1
74,男性,172.7,65.9,2023-08-22 22:18:00,17.0,513.6,404.7,1
75,女性,159.4,56.7,2023-08-22 06:12:00,2.1,754.4,355.8,0
34,男性,165.4,60.3,2023-08-22 22:56:00,18.7,443.8,613.5,1
35,男性,166.3,61.0,2023-08-22 13:54:00,8.9,301.3,329.6,1
58,男性,169.5,63.3,2023-08-22 13:44:00,22.9,623.9,487.4,1
72,男性,170.6,64.4,2023-08-22 06:17:00,17.7,780.5,512.1,1
79,女性,162.5,58.7,2023-08-22 04:56:00,8.6,737.0,642.7,1
40,男性,168.6,62.9,2023-08-22 14:12:00,10.7,739.3,792.5,1
29,女性,161.8,58.0,2023-08-22 16:36:00,13.2,782.2,360.4,1
64,男性,165.1,60.3,2023-08-22 12:03:00,20.6,368.4,555.5,1
65,男性,171.4,65.2,2023-08-22 02:30:00,7.0,430.0,604.6,1
73,男性,172.6,66.1,2023-08-22 05:13:00,20.6,577.2,750.7,1
23,女性,163.4,59.4,2023-08-22 05:14:00,19.6,388.7,411.2,1
80,女性,163.7,59.1,2023-08-22 17:52:00,20.6,782.5,448.5,1
58,女性,163.7,59.8,2023-08-22 21:02:00,17.6,447.0,753.0,1
77,男性,166.5,61.6,2023-08-22 08:16:00,16.0,501.4,562.8,1
62,男性,171.9,65.0,2023-08-22 05:19:00,4.1,368.1,599.0,1
49,男性,166.1,60.7,2023-08-22 03:11:00,6.8,588.2,305.7,1
62,女性,162.5,58.6,2023-08-22 09:57:00,8.9,531.2,356.4,1
49,女性,161.9,58.2,2023-08-22 17:03:00,16.8,537.0,499.1,1
35,女性,159.6,57.0,2023-08-22 03:22:00,3.7,449.7,574.2,1
38,女性,164.7,60.7,2023-08-22 17:11:00,16.7,638.7,732.4,1
40,女性,157.1,55.0,2023-08-22 22:13:00,1.6,723.9,339.4,0
56,女性,158.3,55.7,2023-08-22 05:01:00,9.6,752.9,581.5,1
43,男性,165.1,60.3,2023-08-22 17:23:00,8.6,775.4,375.0,1
78,女性,155.9,53.8,2023-08-22 07:53:00,17.2,732.5,590.2,1
34,男性,174.6,67.8,2023-08-22 22:01:00,5.9,693.5,453.8,1
70,男性,167.7,62.4,2023-08-22 22:08:00,8.0,504.6,686.9,1
19,男性,172.4,65.9,2023-08-22 10:28:00,3.0,655.4,678.6,0
69,女性,160.5,56.8,2023-08-22 01:26:00,13.2,309.8,776.4,1
75,女性,164.2,60.1,2023-08-22 03:17:00,16.3,327.2,426.8,1
28,女性,157.8,55.8,2023-08-22 05:40:00,21.3,560.2,628.8,1
41,女性,164.8,60.2,2023-08-22 22:31:00,18.0,642.8,689.2,1
24,女性,163.3,59.0,2023-08-22 14:15:00,13.5,517.6,461.0,1
47,男性,168.4,62.5,2023-08-22 07:04:00,8.4,409.8,697.4,1
25,男性,171.5,65.4,2023-08-22 18:17:00,16.1,724.6,545.2,1
49,男性,166.9,61.9,2023-08-22 05:57:00,21.9,433.5,641.1,1
58,男性,172.4,65.8,2023-08-22 03:54:00,15.9,758.0,555.3,1
58,女性,157.0,54.6,2023-08-22 17:42:00,4.7,474.7,320.0,1
35,女性,159.4,56.0,2023-08-22 08:39:00,19.0,564.1,450.0,1
32,男性,171.7,65.2,2023-08-22 15:47:00,20.5,482.9,330.0,1
75,男性,167.7,61.9,2023-08-22 08:36:00,11.2,762.8,608.8,1
78,男性,174.5,67.7,2023-08-22 09:08:00,17.0,775.0,567.1,1
32,女性,162.2,58.1,2023-08-22 23:24:00,13.9,584.9,711.7,1
53,女性,159.4,56.2,2023-08-22 17:04:00,19.4,437.9,723.8,1
29,女性,164.1,60.1,2023-08-22 17:17:00,2.9,543.0,425.3,1
71,男性,166.4,61.0,2023-08-22 17:09:00,5.2,364.9,761.8,0
71,男性,171.0,64.5,2023-08-22 01:26:00,3.5,437.0,651.7,0
25,男性,168.4,63.0,2023-08-22 23:10:00,16.7,361.3,416.4,1
30,女性,156.3,54.4,2023-08-22 21:01:00,16.6,473.2,509.1,1
77,男性,173.1,66.7,2023-08-22 07:35:00,21.5,329.2,629.4,1
55,男性,167.9,63.0,2023-08-22 04:23:00,16.0,761.1,624.5,1
23,男性,171.7,65.6,2023-08-22 01:53:00,5.3,334.8,690.8,1
71,女性,162.7,58.6,2023-08-22 03:57:00,8.2,677.9,685.6,1
60,男性,172.2,65.3,2023-08-22 07:19:00,3.5,596.8,447.4,0
40,女性,160.2,57.3,2023-08-22 13:53:00,19.6,409.4,352.9,1
64,女性,157.1,54.5,2023-08-22 19:40:00,17.0,364.2,549.8,1
57,男性,165.4,60.9,2023-08-22 01:14:00,11.5,725.4,486.1,1
76,女性,157.1,54.3,2023-08-22 01:14:00,5.1,695.7,682.2,0
35,女性,159.8,56.4,2023-08-22 11:16:00,20.9,665.0,344.9,1
21,男性,171.3,64.6,2023-08-22 07:55:00,20.8,627.1,348.1,1
53,女性,159.4,56.7,2023-08-22 04:52:00,17.8,634.0,306.4,1
60,女性,156.7,54.7,2023-08-22 17:10:00,20.6,442.9,548.6,1
33,女性,164.1,59.6,2023-08-22 09:03:00,7.1,734.1,471.2,1
62,女性,157.4,54.9,2023-08-22 02:12:00,8.7,549.5,732.7,1
27,女性,161.5,58.3,2023-08-22 04:07:00,21.3,541.1,366.5,1
33,女性,155.6,53.6,2023-08-22 01:51:00,19.3,574.2,654.5,1
71,女性,160.4,56.6,2023-08-22 01:30:00,11.7,647.5,556.2,1
20,女性,164.1,59.3,2023-08-22 02:04:00,7.6,431.5,334.3,1
59,女性,158.0,55.0,2023-08-22 12:45:00,14.4,501.4,331.0,1
72,女性,155.4,53.4,2023-08-22 22:54:00,4.5,451.3,475.8,1
53,男性,170.9,64.5,2023-08-22 18:28:00,8.6,752.0,539.4,1
26,男性,173.4,66.3,2023-08-22 19:43:00,10.4,305.9,653.2,1
36,男性,165.7,61.3,2023-08-22 15:11:00,11.2,488.7,635.6,1
20,女性,160.1,56.5,2023-08-22 10:53:00,14.8,749.2,599.7,1
20,女性,159.6,56.2,2023-08-22 16:38:00,12.3,367.5,705.4,1
47,男性,167.7,62.2,2023-08-22 16:31:00,7.4,647.6,651.6,1
69,男性,172.0,65.6,2023-08-22 02:06:00,7.9,484.2,609.5,1
54,女性,156.5,54.0,2023-08-22 18:54:00,14.0,694.9,618.3,1
56,女性,164.0,60.1,2023-08-22 21:31:00,21.8,458.4,694.6,1
23,女性,160.3,56.8,2023-08-22 12:43:00,4.9,705.8,599.2,0
25,男性,170.5,64.1,2023-08-22 11:31:00,7.6,508.4,344.3,1
33,男性,165.4,60.3,2023-08-22 05:52:00,7.3,676.7,657.2,1
78,男性,173.7,67.2,2023-08-22 05:55:00,11.9,694.7,353.8,1
53,男性,172.7,65.9,2023-08-22 01:50:00,15.3,409.2,500.5,1
27,女性,156.2,54.5,2023-08-22 23:44:00,13.7,771.2,717.7,1
75,男性,165.6,61.0,2023-08-22 16:28:00,9.3,706.1,594.6,1
56,女性,164.7,60.0,2023-08-22 12:20:00,6.0,769.7,551.6,0
67,女性,155.4,53.9,2023-08-22 13:51:00,12.3,662.7,716.9,1
42,男性,173.2,66.3,2023-08-22 05:10:00,12.9,484.8,330.1,1
79,女性,157.6,55.4,2023-08-22 08:24:00,2.5,552.4,748.8,0
74,男性,170.5,64.5,2023-08-22 08:31:00,22.6,717.6,550.5,1
72,女性,156.6,54.0,2023-08-22 20:39:00,17.5,305.8,748.8,1
54,女性,159.7,56.2,2023-08-22 06:35:00,22.3,787.9,368.0,1
36,男性,166.7,61.3,2023-08-22 04:35:00,4.1,669.6,673.8,0
77,男性,169.4,63.1,2023-08-22 01:08:00,19.7,413.9,700.9,1
34,男性,172.4,65.8,2023-08-22 04:40:00,8.6,447.3,700.3,1
36,女性,160.8,57.3,2023-08-22 23:49:00,9.1,657.7,375.3,1
67,女性,161.2,57.6,2023-08-22 03:49:00,5.5,349.7,459.4,1
66,女性,155.9,54.0,2023-08-22 09:19:00,18.4,746.6,717.0,1
68,男性,165.4,61.0,2023-08-22 08:37:00,14.1,728.4,561.1,1
30,男性,174.5,67.0,2023-08-22 17:50:00,8.9,680.3,627.7,1
57,男性,174.8,67.4,2023-08-22 07:50:00,14.4,462.5,687.8,1
43,男性,165.7,60.7,2023-08-22 23:08:00,3.3,421.8,640.8,0
34,女性,157.2,55.2,2023-08-22 03:50:00,4.1,703.6,372.7,0
71,男性,172.5,66.3,2023-08-22 01:47:00,4.6,494.1,514.5,1
59,女性,161.7,58.0,2023-08-22 19:06:00,6.3,449.6,407.3,1
19,男性,167.7,62.5,2023-08-22 16:38:00,21.1,720.5,752.6,1
35,女性,155.4,53.6,2023-08-22 18:04:00,7.5,347.3,359.8,1
39,女性,155.2,53.6,2023-08-22 11:52:00,21.7,682.7,616.7,1
78,女性,163.4,59.0,2023-08-22 20:58:00,20.8,667.4,477.0,1
53,女性,155.1,53.3,2023-08-22 23:30:00,11.4,315.5,339.1,1
54,男性,170.0,64.1,2023-08-22 04:10:00,8.6,352.9,312.6,1
59,女性,164.8,60.6,2023-08-22 23:42:00,4.2,717.5,304.3,1
19,女性,161.2,57.3,2023-08-22 01:45:00,21.9,774.1,574.9,1
77,女性,163.6,59.6,2023-08-22 22:52:00,8.7,783.5,698.6,0
25,女性,158.6,55.5,2023-08-22 23:22:00,9.1,404.2,436.2,1
31,男性,166.5,61.2,2023-08-22 05:08:00,22.9,459.8,701.8,1
80,女性,158.0,55.1,2023-08-22 04:31:00,10.4,393.3,770.9,1
43,女性,163.9,59.3,2023-08-22 18:45:00,8.9,524.4,408.2,1
24,男性,173.5,66.2,2023-08-22 13:44:00,19.3,693.5,706.8,1
44,女性,160.3,57.2,2023-08-22 23:51:00,6.4,753.6,747.5,0
66,男性,166.5,61.5,2023-08-22 10:48:00,18.1,483.9,399.7,1
31,女性,158.7,55.6,2023-08-22 23:57:00,12.5,353.2,694.8,1
54,男性,167.8,62.3,2023-08-22 23:19:00,16.4,357.7,394.3,1
68,女性,164.5,59.9,2023-08-22 18:38:00,10.0,475.0,425.4,1
58,女性,160.5,57.3,2023-08-22 11:43:00,2.7,513.4,687.8,0
34,女性,155.5,53.8,2023-08-22 01:04:00,14.4,444.5,778.1,1
41,女性,157.7,55.0,2023-08-22 06:37:00,15.1,517.1,742.9,1
46,男性,165.9,61.0,2023-08-22 14:20:00,2.3,559.9,579.2,0
38,男性,174.6,67.8,2023-08-22 23:31:00,19.0,795.2,367.8,1
50,男性,171.9,65.6,2023-08-22 13:01:00,10.3,778.9,653.3,1
18,女性,159.8,56.4,2023-08-22 04:14:00,22.1,378.9,479.8,1
40,男性,171.2,64.7,2023-08-22 03:12:00,17.3,579.2,710.2,1
40,女性,156.9,54.6,2023-08-22 02:01:00,18.9,385.8,649.1,1
46,女性,163.5,59.6,2023-08-22 19:05:00,9.1,696.9,580.3,1
23,男性,168.1,62.4,2023-08-22 03:58:00,10.9,788.4,799.4,1
22,男性,167.4,62.5,2023-08-22 16:33:00,13.6,536.5,738.4,1
29,男性,169.1,63.0,2023-08-22 21:31:00,8.5,581.5,398.1,1
30,女性,159.1,56.7,2023-08-22 21:10:00,12.7,398.3,466.2,1
54,男性,173.5,66.4,2023-08-22 14:08:00,6.3,727.9,455.8,1
75,女性,155.8,54.2,2023-08-22 22:47:00,16.5,773.5,310.4,1
44,女性,157.2,54.5,2023-08-22 05:34:00,4.6,558.8,591.2,0
69,男性,171.0,64.7,2023-08-22 04:29:00,19.2,614.1,756.1,1
75,男性,166.5,62.0,2023-08-22 01:39:00,12.7,641.8,461.7,1
18,女性,160.3,57.1,2023-08-22 15:33:00,13.3,368.7,529.1,1
51,女性,155.8,53.9,2023-08-22 09:16:00,19.9,539.9,672.5,1
66,女性,162.0,57.7,2023-08-22 13:08:00,22.0,703.1,446.5,1
69,男性,166.9,62.1,2023-08-22 06:54:00,18.7,780.9,373.7,1
25,男性,165.7,60.5,2023-08-22 04:13:00,7.8,614.0,596.3,1
77,女性,158.9,55.6,2023-08-22 08:58:00,17.0,458.9,437.9,1
58,男性,172.1,65.5,2023-08-22 04:12:00,4.8,743.2,747.3,0
21,男性,167.4,61.9,2023-08-22 16:45:00,3.8,535.8,480.4,1
27,男性,172.2,65.8,2023-08-22 09:20:00,8.9,708.0,710.7,1
57,男性,173.5,67.2,2023-08-22 03:20:00,9.9,442.1,727.5,1
62,女性,156.1,53.7,2023-08-22 08:17:00,1.1,432.9,360.3,0
20,女性,155.2,53.2,2023-08-22 04:18:00,6.9,389.8,357.7,1
23,男性,170.5,64.1,2023-08-22 03:36:00,10.8,625.3,622.6,1
63,女性,163.1,59.1,2023-08-22 14:52:00,17.7,353.7,415.9,1
62,男性,170.8,64.8,2023-08-22 20:19:00,6.8,335.9,612.2,1
43,女性,161.8,58.1,2023-08-22 17:30:00,5.7,473.0,318.1,1
52,男性,167.7,62.0,2023-08-22 02:26:00,20.7,591.3,430.5,1
31,男性,169.8,63.9,2023-08-22 08:39:00,11.4,354.3,678.0,1
48,女性,163.3,59.3,2023-08-22 06:45:00,7.7,409.1,707.6,1
39,女性,158.0,55.9,2023-08-22 10:25:00,16.3,411.6,405.2,1
77,女性,155.3,53.4,2023-08-22 10:01:00,18.2,689.5,310.9,1
62,女性,157.4,54.8,2023-08-22 19:09:00,18.4,404.3,591.0,1
41,男性,169.4,63.5,2023-08-22 01:16:00,15.7,751.0,794.1,1
43,男性,171.7,65.6,2023-08-22 08:27:00,14.7,563.2,656.8,1
19,女性,164.3,59.7,2023-08-22 09:49:00,11.8,715.2,687.4,1
59,男性,169.0,63.3,2023-08-22 10:50:00,6.1,443.1,706.6,1
34,女性,160.3,57.2,2023-08-22 03:15:00,13.9,477.2,427.7,1
