年齢,性別,身長,体重
24,女性,156.2,53.676567999999996
75,男性,173.4,66.148632
73,女性,158.7,55.408517999999994
37,男性,171.3,64.55611800000001
60,女性,156.6,53.951831999999996
19,男性,171.1,64.405462
30,女性,155.9,53.47058200000001
61,男性,167.4,61.65007200000001
47,男性,170.0,63.58
23,男性,171.9,65.009142
47,女性,154.3,52.378678000000015
45,男性,166.0,60.6232
40,女性,160.1,56.390421999999994
23,男性,166.4,60.91571200000001
53,男性,173.9,66.530662
78,女性,155.9,53.47058200000001
22,男性,168.8,62.685568
27,女性,159.8,56.179288000000014
68,女性,155.0,52.855
56,男性,169.6,63.281152
22,女性,160.1,56.390421999999994
35,女性,159.4,55.898392
56,男性,165.2,60.04028799999999
42,女性,158.6,55.338712
37,女性,154.3,52.378678000000015
68,女性,154.3,52.378678000000015
49,女性,160.4,56.601952000000004
52,女性,159.1,55.688182
38,女性,160.9,56.95538200000001
71,女性,160.7,56.81387799999999
52,女性,157.7,54.71243799999999
51,男性,169.9,63.50522200000001
41,女性,154.9,52.78682200000001
54,女性,156.1,53.607862
48,女性,158.6,55.338712
45,女性,154.4,52.446592
25,男性,165.2,60.04028799999999
64,女性,154.3,52.378678000000015
24,男性,171.9,65.009142
73,女性,158.6,55.338712
52,女性,159.9,56.24962200000001
63,男性,172.0,65.0848
51,男性,171.2,64.480768
61,男性,168.1,62.16674199999999
54,男性,172.3,65.31203800000002
28,男性,166.6,61.062231999999995
35,男性,168.8,62.685568
51,男性,167.5,61.72375
69,男性,167.4,61.65007200000001
76,男性,168.0,62.0928
70,男性,166.5,60.98895
33,女性,159.7,56.108998
51,男性,173.0,65.8438
64,男性,166.2,60.76936799999999
65,女性,155.0,52.855
29,女性,158.9,55.54826200000001
31,男性,174.3,66.83707800000002
29,男性,169.7,63.355798
76,男性,166.6,61.062231999999995
79,女性,157.0,54.2278
59,女性,158.1,54.99034199999999
45,男性,174.6,67.06735199999999
66,女性,154.1,52.242982
27,男性,172.6,65.539672
80,男性,172.6,65.539672
37,女性,160.9,56.95538200000001
73,男性,166.0,60.6232
54,女性,160.0,56.32
19,女性,157.2,54.366048
72,男性,168.7,62.61131799999999
62,男性,170.0,63.58
28,男性,173.1,65.91994199999999
69,男性,165.5,60.25855
41,男性,166.0,60.6232
26,女性,154.7,52.650597999999995
30,女性,154.4,52.446592
75,男性,174.8,67.22108800000001
69,男性,168.1,62.16674199999999
60,男性,165.6,60.331391999999994
77,男性,167.1,61.429302
58,女性,156.3,53.745318000000005
40,男性,172.6,65.539672
66,男性,170.3,63.80459800000001
28,男性,165.4,60.185752
53,男性,168.2,62.24072799999999
62,男性,171.8,64.93352800000001
67,女性,160.0,56.32
21,男性,174.2,66.760408
33,男性,168.5,62.46295
46,男性,173.6,66.301312
68,女性,155.6,53.26499199999999
30,女性,158.8,55.478368
70,女性,159.4,55.898392
60,女性,155.8,53.40200800000001
26,男性,171.9,65.009142
22,女性,156.1,53.607862
65,男性,170.8,64.17980800000001
23,男性,167.0,61.3558
52,男性,174.8,67.22108800000001
48,男性,174.3,66.83707800000002
56,男性,173.9,66.530662
45,女性,157.1,54.296902
52,女性,156.4,53.81411200000001
80,女性,155.3,53.05979800000001
23,女性,155.5,53.19655
54,女性,159.6,56.038752
23,男性,168.9,62.75986200000001
60,男性,166.3,60.842518000000005
62,女性,159.1,55.688182
44,男性,170.0,63.58
36,男性,167.9,62.018902000000004
69,男性,170.5,63.95455
61,男性,174.8,67.22108800000001
66,女性,156.4,53.81411200000001
72,男性,165.1,59.967622
39,女性,154.1,52.242982
33,女性,158.3,55.12955800000001
43,女性,160.0,56.32
21,女性,160.3,56.53139800000001
58,女性,158.1,54.99034199999999
62,女性,158.1,54.99034199999999
48,男性,166.1,60.696262
39,男性,169.4,63.131992000000004
73,男性,173.2,65.99612799999998
32,女性,156.2,53.676567999999996
76,女性,156.8,54.089728000000015
77,女性,154.9,52.78682200000001
43,女性,159.9,56.24962200000001
48,女性,154.4,52.446592
73,男性,167.2,61.502848
67,女性,160.5,56.67255
65,男性,170.6,64.029592
32,男性,169.8,63.43048800000001
41,女性,158.7,55.408517999999994
57,女性,157.9,54.851302000000004
23,男性,174.1,66.683782
71,女性,155.4,53.128152
21,男性,174.1,66.683782
65,女性,159.7,56.108998
33,女性,160.7,56.81387799999999
67,男性,170.3,63.80459800000001
28,女性,154.1,52.242982
71,女性,155.4,53.128152
73,女性,157.1,54.296902
60,男性,168.6,62.537112
78,男性,165.9,60.55018200000001
52,男性,165.6,60.331391999999994
75,男性,173.4,66.148632
37,男性,173.3,66.07235800000001
43,女性,158.9,55.54826200000001
72,男性,166.9,61.28234200000001
45,男性,166.4,60.91571200000001
68,男性,167.5,61.72375
40,女性,160.4,56.601952000000004
66,男性,165.7,60.40427799999999
38,女性,155.3,53.05979800000001
27,女性,155.3,53.05979800000001
79,男性,165.1,59.967622
20,男性,165.7,60.40427799999999
73,男性,170.3,63.80459800000001
29,女性,159.9,56.24962200000001
44,男性,167.7,61.87123799999999
31,女性,157.3,54.43523800000001
45,男性,172.9,65.767702
20,女性,158.4,55.19923200000001
76,女性,157.6,54.643072
25,男性,168.9,62.75986200000001
48,女性,154.1,52.242982
38,女性,159.2,55.758207999999996
41,男性,169.5,63.20655
33,男性,170.5,63.95455
55,女性,159.1,55.688182
66,男性,171.9,65.009142
50,男性,168.1,62.16674199999999
73,女性,156.1,53.607862
70,女性,155.3,53.05979800000001
79,男性,170.8,64.17980800000001
24,男性,171.7,64.857958
42,女性,157.5,54.57375
30,男性,166.5,60.98895
53,男性,170.9,64.25498200000001
31,男性,169.4,63.131992000000004
54,女性,158.4,55.19923200000001
23,女性,155.3,53.05979800000001
45,女性,158.0,54.9208
32,女性,160.7,56.81387799999999
62,男性,171.2,64.480768
27,女性,156.9,54.158742000000004
66,女性,159.6,56.038752
61,女性,155.1,52.923221999999996
75,女性,157.0,54.2278
44,女性,159.9,56.24962200000001
46,男性,173.4,66.148632
34,女性,155.7,53.33347799999999
56,女性,156.3,53.745318000000005
25,女性,155.2,52.99148799999999
50,男性,170.8,64.17980800000001
22,男性,172.7,65.61563799999999
45,女性,157.7,54.71243799999999
57,男性,172.4,65.38787200000002
55,男性,170.1,63.654821999999996
56,女性,158.4,55.19923200000001
27,女性,160.0,56.32
80,男性,174.7,67.144198
38,女性,154.4,52.446592
26,男性,172.5,65.46375
75,男性,166.0,60.6232
51,男性,172.0,65.0848
36,女性,160.3,56.53139800000001
44,女性,158.3,55.12955800000001
27,男性,168.0,62.0928
55,女性,157.7,54.71243799999999
43,男性,174.1,66.683782
26,女性,160.1,56.390421999999994
44,女性,159.1,55.688182
63,男性,168.8,62.685568
39,男性,169.5,63.20655
25,女性,159.9,56.24962200000001
55,男性,174.8,67.22108800000001
34,男性,172.4,65.38787200000002
44,女性,158.3,55.12955800000001
71,女性,155.2,52.99148799999999
20,女性,159.6,56.038752
54,男性,169.4,63.131992000000004
60,男性,165.7,60.40427799999999
38,女性,159.2,55.758207999999996
45,男性,168.8,62.685568
41,男性,171.5,64.70695
46,男性,170.1,63.654821999999996
30,男性,174.9,67.298022
59,女性,158.7,55.408517999999994
61,男性,165.7,60.40427799999999
20,女性,154.2,52.31080799999999
23,女性,158.8,55.478368
33,男性,167.5,61.72375
53,男性,166.0,60.6232
62,男性,168.6,62.537112
30,女性,158.6,55.338712
27,男性,171.0,64.3302
80,男性,173.6,66.301312
61,男性,172.7,65.61563799999999
64,女性,155.1,52.923221999999996
25,女性,158.6,55.338712
51,男性,174.4,66.913792
54,男性,170.6,64.029592
29,女性,156.9,54.158742000000004
46,男性,165.3,60.11299800000001
23,男性,172.9,65.767702
54,女性,160.6,56.74319199999999
62,女性,155.6,53.26499199999999
62,男性,167.1,61.429302
65,女性,155.5,53.19655
33,男性,169.4,63.131992000000004
49,女性,157.4,54.50447200000001
30,女性,160.5,56.67255
21,男性,172.0,65.0848
70,男性,173.9,66.530662
64,女性,156.1,53.607862
24,男性,170.6,64.029592
39,男性,171.3,64.55611800000001
33,男性,167.4,61.65007200000001
75,男性,170.7,64.10467799999999
66,女性,159.0,55.6182
29,女性,156.4,53.81411200000001
20,男性,170.8,64.17980800000001
34,男性,172.2,65.236248
25,女性,160.1,56.390421999999994
67,女性,160.1,56.390421999999994
18,男性,168.0,62.0928
18,女性,160.4,56.601952000000004
18,女性,158.5,55.26895
30,男性,174.5,66.99055
77,男性,170.8,64.17980800000001
34,女性,156.8,54.089728000000015
70,女性,156.9,54.158742000000004
77,女性,159.0,55.6182
56,男性,173.7,66.37771799999999
66,男性,169.7,63.355798
70,男性,170.8,64.17980800000001
70,女性,157.2,54.366048
55,男性,166.5,60.98895
46,女性,154.4,52.446592
74,男性,175.0,67.375
75,男性,167.1,61.429302
20,女性,159.0,55.6182
33,男性,166.2,60.76936799999999
22,女性,154.7,52.650597999999995
29,女性,160.4,56.601952000000004
28,男性,169.2,62.983008
77,女性,158.4,55.19923200000001
20,女性,156.7,54.020757999999994
69,女性,157.5,54.57375
32,女性,160.6,56.74319199999999
37,男性,167.6,61.797472
48,男性,168.7,62.61131799999999
30,男性,174.8,67.22108800000001
49,男性,174.5,66.99055
62,女性,157.9,54.851302000000004
45,男性,169.3,63.05747800000002
68,男性,165.6,60.331391999999994
26,女性,156.1,53.607862
30,男性,166.1,60.696262
75,女性,156.2,53.676567999999996
51,女性,158.0,54.9208
26,男性,174.6,67.06735199999999
79,男性,165.1,59.967622
61,男性,172.5,65.46375
44,男性,174.8,67.22108800000001
23,女性,154.3,52.378678000000015
27,女性,160.0,56.32
20,男性,166.1,60.696262
63,女性,155.2,52.99148799999999
61,男性,166.3,60.842518000000005
62,男性,169.9,63.50522200000001
59,女性,161.0,57.0262
77,男性,165.7,60.40427799999999
24,男性,169.0,62.8342
49,女性,160.6,56.74319199999999
30,男性,165.9,60.55018200000001
76,女性,158.3,55.12955800000001
44,男性,165.8,60.477208000000005
59,女性,160.0,56.32
24,女性,155.5,53.19655
46,女性,160.6,56.74319199999999
41,女性,157.7,54.71243799999999
21,男性,172.7,65.61563799999999
48,女性,160.3,56.53139800000001
73,女性,156.4,53.81411200000001
36,女性,156.5,53.88295
32,男性,166.3,60.842518000000005
69,男性,175.0,67.375
45,男性,173.6,66.301312
57,男性,170.5,63.95455
56,女性,160.5,56.67255
78,男性,166.9,61.28234200000001
56,女性,154.3,52.378678000000015
64,女性,159.1,55.688182
63,男性,165.8,60.477208000000005
39,女性,158.2,55.05992799999999
63,女性,154.7,52.650597999999995
37,男性,172.0,65.0848
26,女性,155.8,53.40200800000001
35,男性,167.2,61.502848
67,女性,155.2,52.99148799999999
56,男性,172.1,65.16050200000001
71,男性,171.4,64.63151200000001
29,女性,154.2,52.31080799999999
32,男性,170.1,63.654821999999996
24,男性,166.2,60.76936799999999
18,男性,170.9,64.25498200000001
38,女性,157.9,54.851302000000004
71,男性,173.5,66.22495
43,女性,157.5,54.57375
77,女性,155.1,52.923221999999996
27,男性,172.4,65.38787200000002
23,男性,166.9,61.28234200000001
54,女性,157.1,54.296902
28,女性,159.4,55.898392
44,女性,155.0,52.855
18,男性,169.0,62.8342
59,女性,158.9,55.54826200000001
23,男性,174.2,66.760408
63,女性,154.1,52.242982
19,男性,173.8,66.45416800000001
26,女性,159.5,55.96855
31,男性,165.5,60.25855
59,男性,174.4,66.913792
24,女性,159.2,55.758207999999996
71,女性,160.9,56.95538200000001
69,男性,173.1,65.91994199999999
59,女性,154.4,52.446592
78,男性,165.5,60.25855
74,男性,165.1,59.967622
25,男性,174.0,66.6072
62,男性,167.7,61.87123799999999
60,女性,160.7,56.81387799999999
55,男性,172.2,65.236248
53,女性,156.1,53.607862
42,女性,156.7,54.020757999999994
32,男性,167.8,61.94504800000001
21,男性,172.2,65.236248
24,女性,159.1,55.688182
42,女性,160.6,56.74319199999999
42,男性,169.4,63.131992000000004
33,男性,170.7,64.10467799999999
67,男性,167.6,61.797472
47,男性,171.7,64.857958
57,男性,170.1,63.654821999999996
23,女性,158.9,55.54826200000001
78,男性,166.4,60.91571200000001
59,男性,172.1,65.16050200000001
37,女性,156.3,53.745318000000005
20,女性,160.7,56.81387799999999
26,女性,158.4,55.19923200000001
24,女性,159.3,55.82827800000001
65,女性,155.9,53.47058200000001
77,男性,174.8,67.22108800000001
70,女性,159.8,56.179288000000014
72,女性,159.5,55.96855
59,男性,171.2,64.480768
67,女性,155.3,53.05979800000001
35,女性,159.0,55.6182
51,女性,157.5,54.57375
25,女性,158.5,55.26895
60,女性,160.6,56.74319199999999
24,男性,174.1,66.683782
53,男性,169.3,63.05747800000002
56,男性,169.0,62.8342
21,女性,155.7,53.33347799999999
32,女性,156.6,53.951831999999996
67,女性,159.2,55.758207999999996
69,男性,173.0,65.8438
39,男性,173.3,66.07235800000001
60,女性,158.6,55.338712
51,女性,155.8,53.40200800000001
40,女性,155.5,53.19655
65,女性,157.6,54.643072
54,女性,158.7,55.408517999999994
63,女性,157.6,54.643072
77,女性,156.2,53.676567999999996
69,女性,156.8,54.089728000000015
55,男性,167.4,61.65007200000001
41,女性,157.1,54.296902
46,男性,173.7,66.37771799999999
30,男性,169.2,62.983008
39,男性,167.5,61.72375
34,男性,168.1,62.16674199999999
74,男性,168.2,62.24072799999999
57,男性,168.3,62.314758000000005
39,女性,154.0,52.1752
66,男性,169.5,63.20655
34,男性,166.7,61.135557999999996
77,女性,154.7,52.650597999999995
32,女性,157.9,54.851302000000004
72,男性,170.8,64.17980800000001
65,男性,168.0,62.0928
45,女性,159.1,55.688182
51,男性,167.7,61.87123799999999
39,男性,170.0,63.58
57,女性,160.0,56.32
67,男性,168.9,62.75986200000001
55,女性,155.3,53.05979800000001
38,男性,168.0,62.0928
73,男性,171.9,65.009142
48,女性,159.1,55.688182
53,男性,170.2,63.72968799999999
46,男性,175.0,67.375
77,男性,170.6,64.029592
36,男性,170.2,63.72968799999999
35,男性,172.7,65.61563799999999
26,男性,168.5,62.46295
79,女性,156.4,53.81411200000001
42,女性,158.9,55.54826200000001
70,女性,155.6,53.26499199999999
61,女性,159.5,55.96855
78,男性,165.7,60.40427799999999
68,男性,173.8,66.45416800000001
78,男性,168.8,62.685568
28,女性,154.4,52.446592
74,女性,154.5,52.51455
73,男性,166.7,61.135557999999996
78,男性,166.8,61.208928000000014
26,女性,155.0,52.855
61,女性,158.2,55.05992799999999
38,男性,165.2,60.04028799999999
32,男性,165.6,60.331391999999994
79,女性,156.7,54.020757999999994
49,男性,165.5,60.25855
61,男性,168.0,62.0928
59,男性,167.0,61.3558
44,女性,159.7,56.108998
32,女性,158.2,55.05992799999999
58,男性,171.5,64.70695
58,女性,158.7,55.408517999999994
40,男性,166.6,61.062231999999995
73,男性,168.8,62.685568
65,男性,168.1,62.16674199999999
25,男性,167.3,61.57643800000001
52,女性,155.8,53.40200800000001
44,男性,170.3,63.80459800000001
51,男性,170.4,63.879552000000004
45,女性,159.3,55.82827800000001
78,女性,157.6,54.643072
32,女性,160.3,56.53139800000001
50,男性,165.4,60.185752
38,男性,167.8,61.94504800000001
35,女性,157.9,54.851302000000004
61,男性,165.8,60.477208000000005
45,女性,158.6,55.338712
66,女性,157.2,54.366048
69,女性,158.5,55.26895
40,女性,158.9,55.54826200000001
33,女性,158.3,55.12955800000001
55,男性,167.9,62.018902000000004
53,男性,169.4,63.131992000000004
63,女性,159.4,55.898392
80,男性,175.0,67.375
40,男性,167.3,61.57643800000001
69,男性,172.0,65.0848
64,男性,170.8,64.17980800000001
76,男性,172.8,65.69164800000001
69,男性,167.9,62.018902000000004
64,男性,171.2,64.480768
57,女性,160.6,56.74319199999999
34,男性,165.4,60.185752
18,女性,156.8,54.089728000000015
53,男性,172.9,65.767702
49,男性,165.2,60.04028799999999
64,女性,155.1,52.923221999999996
73,男性,169.6,63.281152
65,男性,173.6,66.301312
28,女性,157.6,54.643072
41,女性,160.2,56.46088799999999
25,女性,159.7,56.108998
60,女性,156.4,53.81411200000001
66,女性,157.0,54.2278
61,男性,167.3,61.57643800000001
78,男性,167.3,61.57643800000001
42,男性,167.9,62.018902000000004
80,女性,159.0,55.6182
71,女性,158.7,55.408517999999994
45,女性,160.2,56.46088799999999
66,男性,172.7,65.61563799999999
45,女性,155.9,53.47058200000001
36,女性,160.5,56.67255
73,女性,154.5,52.51455
23,女性,159.2,55.758207999999996
69,男性,172.4,65.38787200000002
77,男性,171.8,64.93352800000001
75,男性,172.3,65.31203800000002
55,女性,160.3,56.53139800000001
47,男性,170.2,63.72968799999999
68,男性,168.3,62.314758000000005
67,女性,160.0,56.32
19,男性,172.1,65.16050200000001
80,男性,166.7,61.135557999999996
31,女性,155.7,53.33347799999999
20,女性,160.8,56.88460800000001
31,女性,159.3,55.82827800000001
76,男性,167.7,61.87123799999999
68,女性,158.1,54.99034199999999
54,男性,165.5,60.25855
72,女性,154.3,52.378678000000015
66,女性,157.5,54.57375
32,女性,159.1,55.688182
61,男性,165.2,60.04028799999999
74,女性,160.8,56.88460800000001
67,女性,159.6,56.038752
32,男性,170.7,64.10467799999999
44,男性,170.1,63.654821999999996
80,男性,170.6,64.029592
74,女性,154.8,52.718688000000014
63,男性,171.6,64.782432
45,男性,167.7,61.87123799999999
45,女性,156.5,53.88295
30,女性,155.0,52.855
50,男性,173.1,65.91994199999999
26,女性,159.5,55.96855
31,男性,165.1,59.967622
60,女性,160.2,56.46088799999999
29,女性,158.6,55.338712
65,女性,156.9,54.158742000000004
71,女性,155.9,53.47058200000001
18,男性,166.9,61.28234200000001
35,男性,169.1,62.908581999999996
26,男性,174.2,66.760408
60,女性,159.6,56.038752
21,女性,155.1,52.923221999999996
29,女性,156.8,54.089728000000015
66,女性,159.8,56.179288000000014
79,女性,158.3,55.12955800000001
23,男性,170.2,63.72968799999999
79,男性,166.1,60.696262
72,女性,156.8,54.089728000000015
27,男性,165.5,60.25855
54,男性,174.2,66.760408
56,女性,155.4,53.128152
43,女性,158.3,55.12955800000001
66,男性,168.7,62.61131799999999
42,女性,156.6,53.951831999999996
34,女性,157.4,54.50447200000001
70,女性,155.1,52.923221999999996
43,女性,160.5,56.67255
66,男性,173.6,66.301312
58,男性,174.9,67.298022
21,女性,155.4,53.128152
47,男性,174.1,66.683782
64,女性,158.6,55.338712
26,女性,156.1,53.607862
35,男性,174.7,67.144198
56,女性,159.7,56.108998
74,女性,154.6,52.582552
21,男性,165.9,60.55018200000001
19,女性,156.2,53.676567999999996
75,女性,155.1,52.923221999999996
53,女性,154.9,52.78682200000001
46,女性,157.6,54.643072
80,男性,167.3,61.57643800000001
19,女性,154.9,52.78682200000001
19,女性,157.3,54.43523800000001
22,男性,174.9,67.298022
73,女性,156.1,53.607862
61,男性,174.8,67.22108800000001
44,女性,156.8,54.089728000000015
24,女性,159.0,55.6182
68,男性,173.9,66.530662
42,女性,157.5,54.57375
27,女性,157.7,54.71243799999999
27,女性,159.9,56.24962200000001
52,男性,171.5,64.70695
75,女性,156.7,54.020757999999994
22,男性,170.7,64.10467799999999
36,女性,159.2,55.758207999999996
53,女性,156.9,54.158742000000004
76,女性,161.0,57.0262
59,女性,158.2,55.05992799999999
58,女性,156.5,53.88295
76,女性,157.9,54.851302000000004
46,女性,154.5,52.51455
50,男性,167.5,61.72375
67,女性,159.5,55.96855
77,男性,167.2,61.502848
79,女性,154.9,52.78682200000001
72,男性,166.3,60.842518000000005
19,女性,158.0,54.9208
64,男性,167.6,61.797472
28,男性,168.3,62.314758000000005
70,男性,170.3,63.80459800000001
74,女性,159.2,55.758207999999996
37,女性,156.5,53.88295
27,男性,165.6,60.331391999999994
75,女性,154.9,52.78682200000001
33,女性,159.8,56.179288000000014
47,男性,165.3,60.11299800000001
62,女性,158.6,55.338712
80,男性,170.3,63.80459800000001
52,女性,158.4,55.19923200000001
42,男性,169.5,63.20655
36,女性,158.9,55.54826200000001
26,男性,170.4,63.879552000000004
40,男性,165.4,60.185752
40,女性,154.0,52.1752
41,女性,159.0,55.6182
67,女性,155.7,53.33347799999999
71,男性,166.9,61.28234200000001
67,男性,167.7,61.87123799999999
33,男性,167.9,62.018902000000004
68,女性,158.6,55.338712
36,女性,157.0,54.2278
53,男性,168.9,62.75986200000001
73,男性,166.4,60.91571200000001
71,男性,166.2,60.76936799999999
34,男性,170.0,63.58
78,女性,155.9,53.47058200000001
47,女性,155.1,52.923221999999996
39,男性,169.4,63.131992000000004
44,男性,174.6,67.06735199999999
34,男性,170.2,63.72968799999999
66,女性,158.9,55.54826200000001
75,男性,165.7,60.40427799999999
34,男性,169.2,62.983008
51,男性,167.7,61.87123799999999
25,女性,160.7,56.81387799999999
28,女性,155.3,53.05979800000001
57,男性,165.9,60.55018200000001
32,女性,155.1,52.923221999999996
49,男性,174.8,67.22108800000001
75,男性,171.0,64.3302
80,女性,155.0,52.855
41,女性,160.6,56.74319199999999
52,女性,160.6,56.74319199999999
72,男性,171.3,64.55611800000001
21,女性,155.3,53.05979800000001
72,女性,154.6,52.582552
29,女性,156.8,54.089728000000015
49,女性,160.0,56.32
48,女性,156.1,53.607862
69,男性,173.6,66.301312
39,男性,172.0,65.0848
79,女性,159.8,56.179288000000014
55,女性,157.3,54.43523800000001
80,男性,173.1,65.91994199999999
27,女性,154.4,52.446592
45,男性,168.7,62.61131799999999
53,女性,155.2,52.99148799999999
28,男性,171.8,64.93352800000001
67,男性,167.4,61.65007200000001
80,女性,156.3,53.745318000000005
69,男性,171.2,64.480768
47,男性,166.2,60.76936799999999
68,女性,156.5,53.88295
79,女性,158.6,55.338712
26,男性,166.9,61.28234200000001
28,男性,174.3,66.83707800000002
34,女性,154.7,52.650597999999995
26,女性,158.8,55.478368
43,男性,172.8,65.69164800000001
30,女性,160.1,56.390421999999994
37,女性,157.4,54.50447200000001
74,男性,165.8,60.477208000000005
36,男性,174.2,66.760408
44,男性,165.5,60.25855
73,女性,155.7,53.33347799999999
66,男性,173.6,66.301312
67,男性,169.2,62.983008
41,男性,165.5,60.25855
38,女性,160.9,56.95538200000001
33,女性,154.4,52.446592
79,男性,166.2,60.76936799999999
36,男性,170.0,63.58
54,男性,173.0,65.8438
48,男性,168.9,62.75986200000001
73,女性,156.5,53.88295
35,女性,157.2,54.366048
41,男性,172.3,65.31203800000002
41,男性,174.6,67.06735199999999
43,男性,168.4,62.38883200000001
59,女性,156.6,53.951831999999996
54,女性,158.8,55.478368
44,女性,159.1,55.688182
32,女性,160.5,56.67255
64,男性,167.6,61.797472
60,女性,155.6,53.26499199999999
57,男性,168.9,62.75986200000001
76,男性,172.6,65.539672
20,女性,160.3,56.53139800000001
43,男性,165.2,60.04028799999999
66,男性,173.8,66.45416800000001
53,男性,171.1,64.405462
61,男性,167.4,61.65007200000001
68,女性,160.2,56.46088799999999
52,女性,156.6,53.951831999999996
61,男性,174.1,66.683782
78,女性,155.5,53.19655
46,男性,165.7,60.40427799999999
41,女性,155.2,52.99148799999999
34,女性,160.2,56.46088799999999
39,男性,170.4,63.879552000000004
30,女性,155.5,53.19655
55,女性,161.0,57.0262
58,女性,157.0,54.2278
70,女性,158.9,55.54826200000001
51,女性,158.4,55.19923200000001
32,男性,174.4,66.913792
69,女性,154.7,52.650597999999995
49,男性,169.7,63.355798
28,男性,168.8,62.685568
60,男性,173.6,66.301312
79,男性,171.1,64.405462
64,男性,168.2,62.24072799999999
74,女性,155.8,53.40200800000001
46,女性,160.6,56.74319199999999
58,男性,170.9,64.25498200000001
56,女性,155.6,53.26499199999999
28,男性,171.4,64.63151200000001
48,女性,159.4,55.898392
43,男性,165.0,59.895
65,男性,170.1,63.654821999999996
39,女性,156.0,53.5392
77,女性,160.8,56.88460800000001
48,男性,171.9,65.009142
56,女性,161.0,57.0262
56,女性,156.4,53.81411200000001
50,女性,154.5,52.51455
62,女性,156.2,53.676567999999996
41,女性,154.8,52.718688000000014
29,男性,166.2,60.76936799999999
22,男性,165.8,60.477208000000005
62,男性,167.6,61.797472
30,男性,166.7,61.135557999999996
51,女性,160.7,56.81387799999999
41,女性,155.7,53.33347799999999
18,女性,156.1,53.607862
65,女性,159.7,56.108998
61,男性,171.9,65.009142
21,女性,158.3,55.12955800000001
63,男性,170.7,64.10467799999999
48,男性,174.1,66.683782
80,女性,160.0,56.32
74,男性,171.7,64.857958
48,女性,156.4,53.81411200000001
31,男性,167.7,61.87123799999999
40,女性,159.5,55.96855
55,男性,172.9,65.767702
61,女性,160.2,56.46088799999999
69,男性,166.1,60.696262
70,女性,159.4,55.898392
80,男性,170.6,64.029592
31,男性,168.3,62.314758000000005
57,男性,165.3,60.11299800000001
57,男性,169.0,62.8342
37,女性,155.1,52.923221999999996
79,女性,154.1,52.242982
57,女性,155.2,52.99148799999999
33,女性,160.3,56.53139800000001
37,男性,170.9,64.25498200000001
53,女性,154.5,52.51455
29,男性,169.5,63.20655
19,男性,172.5,65.46375
39,男性,170.2,63.72968799999999
55,男性,171.7,64.857958
18,女性,157.9,54.851302000000004
50,男性,165.6,60.331391999999994
28,女性,154.6,52.582552
80,女性,159.9,56.24962200000001
21,女性,156.6,53.951831999999996
24,男性,170.0,63.58
30,男性,170.1,63.654821999999996
58,男性,169.5,63.20655
57,男性,174.5,66.99055
70,男性,168.2,62.24072799999999
52,男性,174.8,67.22108800000001
36,男性,168.5,62.46295
34,女性,156.5,53.88295
35,男性,173.0,65.8438
72,女性,160.6,56.74319199999999
23,男性,167.9,62.018902000000004
64,男性,174.2,66.760408
55,女性,156.1,53.607862
78,男性,165.3,60.11299800000001
68,男性,168.7,62.61131799999999
71,男性,174.2,66.760408
